title,minutes,cost,tags
Write the first page of the thing you keep meaning to write,45,free,create writing challenging anywhere
Write a letter by hand and actually post it,40,free,create writing kindness casual home
Write down everything you remember about one particular day,40,free,create writing nostalgic engaging anywhere
Sit in a café and describe a stranger in two hundred words,35,frugal,create writing engaging indoors
Keep a one-line diary for the rest of the week,10,free,create writing mindful casual anywhere
Write a completely serious review of a sandwich,30,free,create writing funny casual anywhere
Write a poem in a form you have never used,50,free,create writing try challenging anywhere
Write the best possible argument for the thing you disagree with,45,free,create writing challenging anywhere
Write a scene that is nothing but dialogue,40,free,create writing engaging anywhere
Write down the story your family always tells,45,free,create writing nostalgic engaging anywhere
Write a letter to yourself to open in a year,30,free,create writing mindful casual home
Invent a word and use it all week,15,free,create writing funny casual anywhere
Write six-word stories until one of them lands,25,free,create writing funny casual anywhere
Write the opening of a horror story set in your own house,40,free,create writing spooky engaging home
Keep a notebook in your pocket all day and fill it,60,free,create writing engaging anywhere
Write instructions for something you do without thinking,35,free,create writing funny engaging home
"Draw the room you are in, badly",25,free,create visualart drawing casual mindful home
"Redraw a logo you see every day, from memory",25,free,create visualart drawing funny casual home
Draw the same object ten times,45,free,create visualart drawing engaging home
Draw somebody without once looking at the paper,20,free,create visualart drawing funny casual anywhere
Fill one whole page with nothing but circles,25,free,create visualart drawing mindful casual home
"Draw your street from memory, then walk it and check",60,free,create visualart drawing engaging anywhere
Draw with your other hand for half an hour,30,free,create visualart drawing funny casual home
Draw a map of somewhere you have never been,45,free,create visualart drawing engaging adventurous home
Sit somewhere public and sketch whatever is in front of you,45,free,create visualart drawing engaging indoors
Draw a comic strip about your own week,60,free,create visualart drawing funny engaging home
Copy a drawing by somebody far better than you,60,free,create visualart drawing learn engaging home
Draw the floor plan of every home you have lived in,50,free,create visualart drawing nostalgic engaging home
Paint something you are not allowed to be good at,40,frugal,create visualart painting casual home
Paint the view out of one window,75,frugal,create visualart painting engaging home
Mix one colour until it is exactly right,40,frugal,create visualart painting mindful engaging home
Paint something using one colour and white,60,frugal,create visualart painting challenging try home
Paint over something you had already finished,45,free,create visualart painting try engaging home
Paint a portrait from a photograph on your phone,90,frugal,create visualart painting challenging home
Buy the cheapest canvas there is and ruin it on purpose,40,frugal,create visualart painting funny casual home
Paint something the size of a postcard and post it to somebody,45,frugal,create visualart painting kindness casual home
Cast your own hand in plaster,90,frugal,create visualart sculpting engaging home
Make something out of what is in the recycling,60,free,create visualart mixedmedia funny casual home
Carve a stamp out of an eraser and print with it,45,free,create visualart mixedmedia engaging home
Make a collage out of one magazine,45,frugal,create visualart mixedmedia casual home
Model something out of clay with your eyes shut,40,frugal,create visualart sculpting funny try casual home
Make a zine — eight pages out of one sheet of paper,90,free,create visualart mixedmedia writing engaging home
Bind your own notebook,75,frugal,create visualart mixedmedia learn engaging home
Mend a garment so that the mend shows,45,free,create clothes repair mindful engaging home
Dye something you had got bored of,90,frugal,create clothes try engaging home
Take a jacket in until it actually fits you,120,frugal,create clothes repair challenging home
Make one thing you would otherwise have bought,120,frugal,create visualart mixedmedia challenging try home
Print photographs out and put them on a wall,45,frugal,create visualart nostalgic casual anywhere
Make a mask,90,frugal,create visualart sculpting spooky engaging home
Sew something with no pattern,120,frugal,create clothes challenging try home
Build a tiny shelf for the place that has needed one for months,120,frugal,create repair challenging home
"Learn one song all the way through, including the part you skip",60,free,create music learn engaging home
Make a playlist that tells a story,45,free,create music organize casual anywhere
Make a mixtape for one specific person,60,free,create music kindness nostalgic engaging home
Record the sound of somewhere and keep it,20,free,create music listen casual outdoors
Write a song about something extremely boring,60,free,create music writing funny engaging home
Sing somewhere with very good reverb,3,free,create music funny casual anywhere
Learn the first four bars on an instrument you cannot play,45,free,create music try challenging home
"Work out a song by ear, with no tabs",60,free,create music challenging learn home
Play music with somebody else in the room,90,free,create music friends engaging anywhere
Make a beat out of household objects,45,free,create music funny engaging home
Sing the harmony instead of the tune,25,free,create music try engaging anywhere
"Busk once, badly, for nobody",60,free,create music challenging adventurous indoors newpeople friends
